uid,title,description,url,audio_url,image_url,collection,vendor,vendor_identifier,notes
cpb-aacip_52-35gb5qz5,Stateline; 517,- Stateline is a news show that covers local events in Colorado.,http://americanarchive.org/catalog/cpb-aacip_52-35gb5qz5,http://americanarchive.org/media/cpb-aacip_52-35gb5qz5?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-35gb5qz5.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-35gb5qz5.vtt
cpb-aacip_52-63fxpvkb,Stateline; T1019,DCPA Demo Tape Stateline is a news show that covers local events in Colorado.,http://americanarchive.org/catalog/cpb-aacip_52-63fxpvkb,http://americanarchive.org/media/cpb-aacip_52-63fxpvkb?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-63fxpvkb.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-63fxpvkb.vtt
cpb-aacip_52-73pvmmst,Prime Time; Denver Museum of Natural History,"Prime Time is a weekly program about Denver Public Schools hosted by Ed
Sardella. In this episode, the Denver Museum of Natural History staff teach
children about animals. Betty Arca of the PTSA talks about the Reflections
Project and showcases selected works of art. Lois Wharry of the Department
of Special Education talks about the Child Find Program, which evaluates
differently abled children who are not enrolled in public schools. Dr.
Joseph Brzeinski interviews the new president of Arapahoe Community College.
Dr. Nancy Goodwin. Bob Otto talks about the Early Bird Club, a before-school
program in which children dance and do gymnastics.",http://americanarchive.org/catalog/cpb-aacip_52-73pvmmst,http://americanarchive.org/media/cpb-aacip_52-73pvmmst?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-73pvmmst.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-73pvmmst.vtt
cpb-aacip_52-60cvdv1h,America Past; Do4; English Colonial Life,DO4: ENGLISH COLONIAL LIFE,http://americanarchive.org/catalog/cpb-aacip_52-60cvdv1h,http://americanarchive.org/media/cpb-aacip_52-60cvdv1h?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-60cvdv1h.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-60cvdv1h.vtt
cpb-aacip_52-53jwt0rg,Prime Time; Newspapers as Learning Resourses,"Prime Time is a weekly program about Denver Public Schools hosted by Ed
Sardella. In this episode, Jill Armstrong from the Rocky Mountain News talks
about the importance of children reading the newspaper. Rocky Mountain News
gives a tour of its facility. Sandy Friedan hosts a workshop about using
newspapers in classrooms. University Park School's integrated arts program
is profiled. Dr. Joseph Brzeinski interviews Dr. Phylliss Adams of Denver
University about the correlation between reading and writing skills.",http://americanarchive.org/catalog/cpb-aacip_52-53jwt0rg,http://americanarchive.org/media/cpb-aacip_52-53jwt0rg?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-53jwt0rg.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-53jwt0rg.vtt
cpb-aacip_52-591898ds,Prime Time; Denver Citywide High School Symphonic Band,"Prime Time is a weekly program about Denver Public Schools hosted by Ed
Sardella. In this episode, Abraham Lincoln High School hosts a science
department open house. Dr. Joseph Brzeinski interviews Albert Mihevic about
the Executive High School internship program. The Citywide High School
Symphonic Band performs. Lin Mrachek interviews Omar Blair, President of the
Denver Public Schools Board of Education, about issues the board is facing.
The Gordon Family participates in the Who's Who in February Prime Time
activity card.",http://americanarchive.org/catalog/cpb-aacip_52-591898ds,http://americanarchive.org/media/cpb-aacip_52-591898ds?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-591898ds.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-591898ds.vtt
cpb-aacip_52-93gxdbm7,"America Past; Do3; Decline of Spain, Rise of England","DO3: DECLINE OF SPAIN, RISE OF ENGLAND",http://americanarchive.org/catalog/cpb-aacip_52-93gxdbm7,http://americanarchive.org/media/cpb-aacip_52-93gxdbm7?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-93gxdbm7.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-93gxdbm7.vtt
cpb-aacip_52-48ffbmvg,America Past; Do6; Prelude to Revolution,DO6: PRELUDE TO REVOLUTION,http://americanarchive.org/catalog/cpb-aacip_52-48ffbmvg,http://americanarchive.org/media/cpb-aacip_52-48ffbmvg?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-48ffbmvg.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-48ffbmvg.vtt
cpb-aacip_52-042rbpsm,America Past; Do9; Articles of Confederation,DO9: ARTICLES OF CONFEDERATION,http://americanarchive.org/catalog/cpb-aacip_52-042rbpsm,http://americanarchive.org/media/cpb-aacip_52-042rbpsm?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_52-042rbpsm.jpg,Rocky Mountain PBS (KRMA),webvtt,cpb-aacip_52-042rbpsm.vtt
cpb-aacip_29-4302vcfg,Tryout TV; Ten Eight in Service,"""Tryout TV is a series that provides broadcast time to individual works
produced through the facilities of the University of Wisconsin Extension
Telecommunications Center, WHA-TV Madison. """,http://americanarchive.org/catalog/cpb-aacip_29-4302vcfg,http://americanarchive.org/media/cpb-aacip_29-4302vcfg?part=1,http://americanarchive.org.s3.amazonaws.com/thumbnail/cpb-aacip_29-4302vcfg.jpg,Wisconsin Public Television (WHA-TV),webvtt,cpb-aacip_29-4302vcfg.vtt
